vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
4,37,2289400,167889 ,813.096,158.150777,28.4725481,5,
4,38,3205160,235045 ,966.519,127.343463,29.0178813,5,
4,39,4120910,302200 ,1242.67,163.727857,37.308759,5,
4,40,5036670,369356 ,1518.82,200.111522,45.5996096,5,
5,0,217515,15951 ,135.0821648,20.47001528,12.94484216,5,
5,1,107131,7856 ,53.32936288,32.2132356,10.12176352,5,
5,11,143758,10542 ,53.13031672,57.62771168,25.45970056,5,
5,12,418318,30677 ,207.429,68.05545384,26.26972408,5,
5,13,766213,56189 ,336.293,97.9798728,30.934638,5,
5,14,1118100,81994 ,458.9,116.940812,34.04913184,5,
5,15,1413980,103692 ,520.391,128.87064,28.95503904,5,
5,16,1944920,142627 ,675.249,153.2678336,30.19746096,5,
5,21,115944,8503 ,34.10802584,53.86196048,23.21109864,5,
5,22,537678,39430 ,229.04,123.2141656,30.36597592,5,
5,23,891734,65394 ,335.034,148.1098968,29.16405408,5,
5,24,1290650,94648 ,474.388,161.0073608,28.7049288,5,
5,25,1659570,121702 ,592.829,172.9874328,27.52561432,5,
5,27,2292430,168112 ,809.301,149.7779488,26.53340264,5,
5,28,3209400,235356 ,878.728,143.1056432,26.02071872,5,
5,29,4126370,302600 ,1129.79,183.99282,33.45515264,5,
5,30,5043340,369845 ,1380.86,224.880948,40.88968168,5,
5,33,478338,35078 ,185.4746184,130.7567656,30.531986,5,
5,35,1462710,107265 ,533.46,156.8271088,26.90540336,5,
5,37,2289400,167889 ,813.096,148.1429944,26.67076632,5,
5,38,3205160,235045 ,966.519,119.2851336,27.18154536,5,
5,39,4120910,302200 ,1242.67,153.3663704,34.9477848,5,
5,40,5036670,369356 ,1518.82,187.4475584,42.71392912,5,
1,0,49108.1,3529.235453,1.29747,11.5777,0.557043,10,
1,1,45430.6,3264.945787,0.549835,1.99894,0.135116,10,
1,11,71438.5,5134.046867,1.92379,39.8038,0.379923,10,
1,12,98643.7,7089.193907,2.93694,64.9829,0.291125,10,
1,13,137092,9852.345067,6.87529,59.913,0.550238,10,
1,14,173224,12449.03147,12.1383,85.9644,0.748464,10,
1,15,206566,14845.20987,21.5131,124.656,1.04341,10,
1,16,249490,17930.01467,44.8659,210.334,1.66671,10,
1,21,97188.1,6984.584787,3.80444,51.8792,0.568706,10,
1,22,110627,7950.393733,6.17936,68.737,0.52229,10,
1,23,134738,9683.170933,9.34185,88.3982,0.563083,10,
1,24,172859,12422.80013,15.745,129.222,1.07449,10,
1,25,230681,16578.27453,22.0812,146.656,1.07046,10,
1,27,304105,21855.01267,34.7694,220.244,1.69165,10,
1,28,409910,29458.86533,39.087,367.33,10.2748,10,
1,29,561579,40358.8108,68.6263,777.946,18.2421,10,
1,30,705222,50681.9544,90.2871,2732.31,30.1168,10,
1,33,138464,9950.946133,8.10854,38.9518,0.546309,10,
1,35,222029,15956.48413,22.3686,66.511,0.758647,10,
1,37,289230,20785.996,31.2577,97.903,0.97214,10,
1,38,377141,27103.86653,33.1891,336.682,6.93824,10,
1,39,502344,36101.7888,49.4056,355.254,10.0746,10,
1,40,640368,46021.1136,62.2257,1044.08,13.172,10,
2,0,82216 ,5909 ,3.204 ,33.833 ,2.411 ,10,
2,1,63417 ,4558 ,1.090 ,41.213 ,0.415 ,10,
2,11,102569 ,7371 ,6.108 ,79.259 ,2.442 ,10,
2,12,128325 ,9222 ,5.949 ,35.927 ,1.881 ,10,
2,13,184521 ,13261 ,13.116 ,121.105 ,4.774 ,10,
2,14,233709 ,16796 ,22.489 ,175.154 ,6.014 ,10,
2,15,281715 ,20246 ,35.922 ,257.946 ,8.167 ,10,
2,16,351799 ,25283 ,72.280 ,427.053 ,13.303 ,10,
2,21,137220 ,9862 ,10.001 ,77.076 ,2.595 ,10,
2,22,147282 ,10585 ,14.888 ,111.605 ,3.424 ,10,
2,23,181791 ,13065 ,18.430 ,149.435 ,4.601 ,10,
2,24,235414 ,16918 ,30.683 ,275.373 ,7.066 ,10,
2,25,302284 ,21724 ,46.811 ,221.577 ,7.264 ,10,
2,27,416021 ,29898 ,61.420 ,382.199 ,10.726 ,10,
2,28,555841 ,39946 ,93.107 ,751.313 ,29.591 ,10,
2,29,762157 ,54774 ,124.928 ,853.686 ,37.784 ,10,
2,30,898114 ,64544 ,145.475 ,3456.242 ,63.155 ,10,
2,33,198168 ,14242 ,21.192 ,148.165 ,3.161 ,10,
2,35,303258 ,21794 ,47.065 ,275.990 ,4.150 ,10,
2,37,400804 ,28804 ,70.389 ,328.035 ,5.681 ,10,
2,38,520866 ,37433 ,90.395 ,275.885 ,10.164 ,10,
2,39,682630 ,49058 ,152.762 ,622.699 ,18.276 ,10,
2,40,903322 ,64919 ,165.353 ,1456.523 ,24.176 ,10,
3,0,82293 ,5914 ,4.739 ,41.975 ,3.071 ,10,
