name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,5356,1,no_control,0,-111.899113,40.558973,"<Point><coordinates>-111.899113,40.558973</coordinates></Point>"
,5436,1,no_control,0,-111.938742,40.624085,"<Point><coordinates>-111.938742,40.624085</coordinates></Point>"
,5440,1,no_control,0,-111.929189,40.624117,"<Point><coordinates>-111.929189,40.624117</coordinates></Point>"
,5441,0,unknown_control,0,-111.917107,40.623244,"<Point><coordinates>-111.917107,40.623244</coordinates></Point>"
,5524,0,unknown_control,0,-111.925488,40.608731,"<Point><coordinates>-111.925488,40.608731</coordinates></Point>"
,5577,1,no_control,0,-111.942300,40.624038,"<Point><coordinates>-111.942300,40.624038</coordinates></Point>"
,5578,1,no_control,0,-111.938760,40.630427,"<Point><coordinates>-111.938760,40.630427</coordinates></Point>"
,5587,5,pretimed_signal,0,-111.919260,40.560309,"<Point><coordinates>-111.919260,40.560309</coordinates></Point>"
,5588,1,no_control,0,-111.917018,40.571988,"<Point><coordinates>-111.917018,40.571988</coordinates></Point>"
,5589,1,no_control,0,-111.934063,40.587781,"<Point><coordinates>-111.934063,40.587781</coordinates></Point>"
,5592,1,no_control,0,-111.922175,40.587742,"<Point><coordinates>-111.922175,40.587742</coordinates></Point>"
,5727,1,no_control,0,-111.902133,40.588000,"<Point><coordinates>-111.902133,40.588000</coordinates></Point>"
